"Claim Number","Date Received","Incident Date","Airport Code","Airport Name","Airline Name","Claim Type","Claim Site","Item Category","Close Amount","Disposition"
2014022111900,2014-02-19,2014-02-10 00:00:00,"FLO","Florence Regional","USAir","Passenger Property Loss","Checkpoint","Currency",100,"Approve in Full"
2014022111901,2014-02-18,2014-02-09 00:00:00,"DFW","Dallas-Fort Worth International Airport","American Airlines","Property Damage","Checked Baggage","Sporting Equipment & Supplies",0,"Deny"
2014022111902,2014-02-18,2013-12-23 11:27:00,"BOS","Boston (Logan) International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Computer & Accessories",29.99,"Approve in Full"
2014022411903,2014-02-19,2013-03-01 00:00:00,"DTW","Detroit Metropolitan Wayne County Airport","Southwest Airlines","Property Damage","Checked Baggage","Sporting Equipment & Supplies",0,"Deny"
2014022411904,2014-02-19,2014-02-08 12:53:00,"-","-","-","Passenger Property Loss","Checked Baggage","-",NA,"-"
2014022411905,2014-02-19,2013-12-16 00:00:00,"HNL","Honolulu International Airport","-","Passenger Property Loss","Checked Baggage","Hunting & Fishing Items",25,"Approve in Full"
2014022411906,2014-02-18,2013-12-21 12:00:00,"DIK","Dickinson Theodore Roosevelt Regional Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Cameras",NA,"-"
2014022411907,2014-02-19,2014-01-29 16:05:00,"MSP","Minneapolis/ St.Paul International Airport","Southwest Airlines","Passenger Property Loss","Checkpoint","Cosmetics & Grooming",NA,"-"
2014022411908,2014-02-19,2013-06-28 19:30:00,"IAD","Washington Dulles International","UAL","Passenger Property Loss","Checked Baggage","Travel Accessories",8.41,"Approve in Full"
2014022411909,2014-02-18,2014-01-17 00:00:00,"LAS","McCarran International","American Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014022411910,2014-02-19,2014-01-31 15:30:00,"IAD","Washington Dulles International","UAL","Passenger Property Loss","Checkpoint","Food & Drink",0,"Deny"
2014022411911,2014-02-18,2013-11-14 22:00:00,"JFK","John F. Kennedy International","Air France","Passenger Property Loss","Checked Baggage","Computer & Accessories",NA,"-"
2014022411912,2014-02-18,2014-01-30 13:00:00,"MIA","Miami International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Personal Electronics",108.74,"Approve in Full"
2014022411913,2014-02-19,2014-01-28 00:00:00,"OAK","Metropolitan Oakland International","Southwest Airlines","Property Damage","Checkpoint","Computer & Accessories",NA,"-"
2014022411914,2014-02-18,2014-02-03 00:00:00,"SAT","San Antonio International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Jewelry & Watches",0,"Deny"
2014022411915,2014-02-19,2014-01-15 15:38:00,"EWN","Craven County Regional","-","Property Damage","Checked Baggage","Baggage/Cases/Purses",NA,"-"
2014022411916,2014-02-20,2013-12-21 00:00:00,"CLT","Charlotte/Douglas International Airport","USAir","Passenger Property Loss","Checked Baggage","Travel Accessories",0,"Deny"
2014022411917,2014-02-19,2014-01-03 21:00:00,"IAD","Washington Dulles International","UAL","Passenger Property Loss","Checked Baggage","Clothing",NA,"-"
2014022411918,2014-02-19,2014-01-28 00:00:00,"OAK","Metropolitan Oakland International","Southwest Airlines","Property Damage","Checkpoint","-",0,"Deny"
2014022411919,2014-02-20,2014-02-12 14:00:00,"MSP","Minneapolis/ St.Paul International Airport","Frontier Airlines","Property Damage","Checkpoint","Computer & Accessories",1099,"Approve in Full"
2014022411920,2014-02-19,2013-12-05 00:00:00,"JFK","John F. Kennedy International","Qantas Airlines","Passenger Property Loss","Checked Baggage","Personal Electronics",567.7,"Settle"
